player_name,position,stat_season,start_year,aav,cap_at_signing,aav_pct_cap,age_at_signing,gp_pct,toi_per_game,save_pct,hd_save_pct,gsaa,gsaa_per60,gaa,sa_per60,position_group
Scott Wedgewood,G,2023,2024,1500000.0,88000000.0,0.017045454545454544,31.0,0.3902439024390244,55.91041666666667,0.8992890995260664,0.6666666666666666,-9.370000000000005,-0.31423035361627616,2.8505421619406044,28.30420687856318,G
Casey DeSmith,G,2023,2024,1000000.0,88000000.0,0.011363636363636364,32.0,0.35365853658536583,57.36149425287356,0.8947368421052632,0.7578947368421053,-0.4200000000000017,-0.015148934464827884,2.8855113266338708,27.41235760302177,G
Samuel Ersson,G,2023,2024,1450000.0,88000000.0,0.016477272727272726,23.0,0.6219512195121951,55.08758169934641,0.8903654485049833,0.7602739726027398,-4.760000000000005,-0.10165630487399754,2.819040387262114,25.713065350481706,G
Frederik Andersen,G,2024,2025,2750000.0,88000000.0,0.03125,35.0,0.2682926829268293,59.9780303030303,0.8992673992673993,0.810126582278481,8.950000000000003,0.40696719758497446,2.5009157393490042,24.827272612446478,G
Justus Annunen,G,2024,2026,1250000.0,,,25.0,0.4146341463414634,52.641666666666666,0.8832923832923832,0.8160919540229885,-9.099999999999994,-0.30505917738315824,3.1846837199340716,27.287711031856148,G
Scott Wedgewood,G,2024,2026,2500000.0,,,33.0,0.2926829268292683,57.21180555555555,0.9083044982698962,0.7931034482758621,3.1700000000000017,0.13852036171633195,2.315955574437094,25.257024943861143,G
Ilya Samsonov,G,2023,2024,1800000.0,88000000.0,0.020454545454545454,27.0,0.4878048780487805,57.524166666666666,0.889604415823367,0.7426470588235294,-8.14,-0.21225861594402354,3.12911964536644,28.344608787611005,G
Jonathan Quick,G,2024,2025,1550000.0,88000000.0,0.017613636363636363,39.0,0.2926829268292683,55.236805555555556,0.893455098934551,0.7903225806451613,-5.3799999999999955,-0.2434970644070351,3.168177417935404,29.735608051193722,G
Vitek Vanecek,G,2024,2025,1500000.0,88000000.0,0.017045454545454544,29.0,0.3048780487804878,55.745333333333335,0.8839779005524862,0.7727272727272727,-8.530000000000001,-0.36724150302566433,3.6164462197134584,31.170322179435047,G
Jonathan Quick,G,2023,2024,1300000.0,88000000.0,0.014772727272727272,38.0,0.32926829268292684,58.619753086419756,0.9105058365758755,0.8571428571428571,9.840000000000003,0.37302556758350547,2.615728065372141,29.227917947853925,G
Daniil Tarasov,G,2024,2025,1050000.0,88000000.0,0.011931818181818182,26.0,0.24390243902439024,55.020833333333336,0.8805147058823529,0.8333333333333334,-4.359999999999999,-0.2377281332828474,3.544112078758046,29.66149185914426,G
David Rittich,G,2024,2025,1000000.0,88000000.0,0.011363636363636364,32.0,0.4146341463414634,54.719607843137254,0.8860103626943006,0.7605633802816901,-11.379999999999995,-0.3670046941627547,2.8379976350019707,24.89697925251729,G
Kevin Lankinen,G,2023,2024,875000.0,88000000.0,0.009943181818181818,29.0,0.2926829268292683,49.642361111111114,0.9081967213114754,0.75,4.079999999999998,0.20546967895362653,2.820172064069385,30.719731412184373,G
James Reimer,G,2024,2025,850000.0,88000000.0,0.009659090909090909,37.0,0.2926829268292683,56.78472222222222,0.8960843373493976,0.7878787878787878,8.010000000000005,0.3526476702947294,3.0377889201418617,29.23321511556806,G
